name,Complexity,Copy Number
fheptomino.rle,9.538876943847193,14
4boats_synth.rle,19.041102055102755,15
eatingc4ss.rle,43.45172258612931,10
4enginecordership.rle,111.53487674383719,13
duelingbanjos_synth.rle,196.10735536776838,20
eaterheadsiameseeatertail.rle,12.0,23
extensiblecrown.rle,138.33326666333315,26
4enginecordership_synth.rle,123.67293364668232,13
67p5h1v1.rle,22.318965948297414,14
88p28.rle,75.71223561178059,8
egyptianwalk.rle,12.0,7
4enginecordershipb.rle,112.3559177958898,13
eaterheadsiameseeatertail_synth.rle,136.16590829541477,23
extraglider.rle,684.7200360018,45
blockedp4-3.rle,34.999949997499876,9
65p13.1.rle,42.15335766788339,6
c5diagonalrake.rle,856.3381169058453,6
6enginecordership.rle,152.65078253912694,9
davegreenesminstrelcollection.rle,567.5109255462772,50
duelingbanjosp24gun.rle,113.69913495674783,20
eaterheadsiameselongsnake.rle,17.0,6
twinhat_synth.rle,105.75088754437722,20
6enginecordership_synth.rle,109.79188959447971,9
finiteplane.rle,250.20046002300114,6
6enginecordershipgun.rle,6296.891744587229,4
gliderduplicator.rle,69.74743737186859,24
6enginecordershipv2.rle,106.19390969548478,9
gliderto2ec.rle,1505.414820741037,3
6inarowcordership.rle,123.09685484274213,6
78p70.rle,66.92974648732437,12
56p6h1v0.rle,52.38311915595779,25
6inarowcordership_synth.rle,150.61163058152908,6
gullwithtub.rle,15.0,5
702p7h3v0.rle,423.74773738686935,32
long4snake_synth.rle,81.024401220061,14
blockedp4-1.rle,43.74993749687484,4
halfbakery.rle,16.0,68
58p5h1v1.rle,24.148307415370766,42
c12rpentominocrawler.rle,70.41302065103255,2
70p5h2v0.rle,23.055702785139257,17
eatertailsiameseeatertail.rle,16.0,8
halfbakery_synth.rle,86.15155757787889,68
5blink.rle,29.399869993499674,9
71p17.1.rle,37.117705885294264,14
5enginecordership.rle,187.71763588179408,10
69p48.rle,40.79173958697935,13
doubleblockeating.rle,12.00850042502125,11
duelingbanjos.rle,52.16765838291914,20
eaterheadsiameseeaterhead.rle,16.0,7
eaterwithtailfeather.rle,16.0,7
5enginecordership_synth.rle,188.96049802490123,1
7enginecordershipreflections.rle,151.26026301315065,14
5x5infinitegrowth.rle,16.10885544277214,168
dendrite.rle,1117.4149207460373,7
600p6h1v0.rle,170.4079203960198,5
hatsiamesevase.rle,25.0,5
60p13.1.rle,47.30801540077004,2
83p7h1v1.rle,57.68173408670433,16
60p33.rle,54.48437421871093,3
extended68p9.rle,57.4439221961098,19
blockedp4-2.rle,34.0,3
60p3h1v0.3.rle,21.376468823441172,8
7242x1quadraticgrowth.rle,3641.150757537877,2
hbkreaction.rle,32.150457522876145,68
extensible28p7.3.rle,145.95769788489423,28
6bits.rle,49.799689984499224,21
27p4h1v1.rle,15.096254812740636,13
60p3h1v0.3reactions.rle,106.49532476623831,8
30p4h2v0.4_synth.rle,226.98194909745487,6
7468m.rle,13.033151657582879,11
60p5h2v0.rle,14.063253162658132,28
doubleclaw.rle,17.0,19
duelingbanjosp48glidergun.rle,123.6458822941147,24
eaterwithheadfeather.rle,15.0,5
p36gun.rle,132.34371718585928,11
60p5h2v0_synth.rle,19.482274113705685,28
60p5h2v0eater.rle,31.059802990149507,28
86p5h1v1.rle,19.484024201210058,12
64p13.1.rle,46.846242312115606,2
highwayrobber.rle,172.7484874243712,22
64p13.2.rle,55.384469223461174,2
77p6h1v1.rle,38.2167608380419,18
honeybarge.rle,15.0,8
64p2h1v0.rle,0.2919645982299115,18
downsnakeontable.rle,12.0,6
duelingbanjostetramer.rle,106.12635631781589,20
eatertailsiameselongsnake.rle,12.0,6
p435gun.rle,258.48962448122404,4
86p9h3v0.rle,42.08705435271764,15
7enginecordership.rle,147.01345067253362,14
fumaroleon34p14shuttle.rle,41.14285714285714,5
fusewithtailandintegral.rle,16.0,3
houndstooth.rle,119.29051452572628,9
aircraftcarrier.rle,10.0,115
7inarowcordership.rle,199.048402420121,12
fusewithtailandverylongtail.rle,20.0,5
integralwithtubandtail.rle,15.0,6
aircraftcarrier_synth.rle,66.14915745787289,1
htog0stamp.rle,236.95134756737835,11
7inarowcordership_synth.rle,193.33571678583928,12
alternatepentadecathlononsnacker.rle,41.08805440272013,1
hatsiamesevase_synth.rle,70.01080054002699,5
loafbacktieloaf.rle,15.0,15
airforce.rle,34.14285714285714,15
8enginecordership.rle,102.39476973848691,7
