index,name,Complexity,Memetic Copy Number,Object Discovery Year
842,coeship.rle,14.574028701435072,31.0,1995
2175,zweiback.rle,123.86679333966698,10.0,1995
1516,period50glidergun.rle,314.1486074303715,4.0,1996
4142,p67herschelloop.rle,193.24731236561828,7.0,1996
392,b52bomber.rle,87.977598879944,22.0,1996
2326,herschelstopper.rle,83.20901045052253,3.0,1996
2264,f117.rle,64.98914945747288,29.0,1996
2270,l156.rle,73.98744937246862,37.0,1996
1448,p61herschelloop1.rle,1242.0807540377018,9.0,1996
913,conduit1.rle,16.0,21.0,1996
1142,herschelreceiver.rle,69.97314865743287,28.0,1996
2242,fx119inserter.rle,61.5820791039552,15.0,1996
350,60p5h2v0.rle,14.063253162658132,28.0,1996
2269,l112.rle,69.97934896744837,35.0,1996
272,49p88.rle,51.001600080004,11.0,1996
